Fold,RMSE,MAE,MASE,SMAPE
1,4.524114001455859,3.7142765522003174,2.5294359,22.75199294090271
2,3.696762219963533,2.9901201725006104,2.1028783,18.41413676738739
3,1.3810577465914182,1.1207506656646729,0.7984239,10.500697046518326
4,0.9287076001353022,0.7604128122329712,0.57473063,8.621697872877121
5,0.8458028474647505,0.7179223299026489,0.5861935,7.504767924547195
6,0.8432394531703291,0.6786013841629028,0.5885265,7.010786980390549
7,0.8406993322585544,0.6571261882781982,0.60627717,6.925609707832336
8,0.8065808438000149,0.6417118906974792,0.61896545,6.15638941526413
9,0.924782354937173,0.7875044941902161,0.78503585,10.091208666563034
10,0.7366076275382161,0.6081342101097107,0.6136975,9.238151460886002
