Model A,Model B,W statistic,Raw p-value,Holm-adjusted p-value,Significant
ARIMA,HW,17.0,0.322265625,1.0,False
ARIMA,SARIMA,15.0,0.232421875,1.0,False
ARIMA,RNN,0.0,0.001953125,0.029296875,True
ARIMA,MLP,0.0,0.001953125,0.029296875,True
ARIMA,GRU,0.0,0.001953125,0.029296875,True
HW,SARIMA,21.0,0.556640625,1.0,False
HW,RNN,0.0,0.001953125,0.029296875,True
HW,MLP,0.0,0.001953125,0.029296875,True
HW,GRU,0.0,0.001953125,0.029296875,True
SARIMA,RNN,0.0,0.001953125,0.029296875,True
SARIMA,MLP,0.0,0.001953125,0.029296875,True
SARIMA,GRU,0.0,0.001953125,0.029296875,True
RNN,MLP,12.0,0.130859375,0.78515625,False
RNN,GRU,15.0,0.232421875,1.0,False
MLP,GRU,22.0,0.625,1.0,False
